Slang,Arti
pas.. ,pas
dy,dia
yaa,ya
i love theeem..,saya menyukainya
my daily lipstick,pewarna bibir yang saya gunakan sehari-hari
i love matte,saya suka warna alami tanpa kilap
worth it lah..,sepadan
"for sure, repurchase!","pasti,beli kembali"
one of oriflame best lipstick.... ,salah satu lipstik terbaik oriflame
series studio artist,seri studio artist
matte finish,hasil akhir dengan warna yang alami dan bebas kilap
i'll repurchase it with another color~,saya akan beli lagi dengan warna lainnya
banyaaaakkkk bangeett…,sangat banyak
se-opaque,seburam
ngelotok,mengelupas
downsidenya,sisi negatif
tokcer!,bagus 
good quality,kualitas bagus 
love it so muchhhhh,sangat menyukainya
denger2,dengar-dengar
lg,lagi
bangeeettt,sangat
i'm a biggest fan of this product!,saya penggemar berat dari produk ini
walopun,walaupun
tu,itu
poles2,poles
oia,oh iya
duhhh,duh
palingggg enakkk,paling enak
wanginyaaa,wanginya
bangeeeeet,sangat
bagus2,bagus
abisssss ,abis
syukaaa syekaliiihhhh,suka sekali
sll,selalu
aju,saya
aq,saya
krn,karena
super pretty !,sangat cantik
gag,tidak
ky,kaya
n,dan
utk,untuk
bawa2,bawa
oles2,oles
mantep,mantap
stain-nya,nodanya
kalo,kalau
ato,atau
ok,oke
sukaaa,suka
sm,sama
wrn,warna
bgs,bagus
bgt,banget
mkn,makan
lengket2,lengket
kt,kata
klo ,kalau
but i love it so much,tapi saya sangat menyukainya
sy,saya
blendiing so well,tercampur dengan baik
nge blok..,memblok
love this borneo series lipstik,cinta sama lipstick borneo seri ini
this product value for money..,produk ini sesuai dengan harganya
adorable..,menggemaskan
i owned 3 colors of this product,saya punya 3 warna untuk warna ini 
"one word, favorite!","satu kata, favorit"
stlh ,setelah
ngga,tidak
spt ,seperti
longlasting,tahan lama
skitar,sekitar
nga,tidak
great colour pay off,hasil warna yang bagus
it is worth the money ,itu sepadan dengan uangnya
not top expensive,tidak mahal
semi-matte,terlihat alami tetapi tidak tampak kering
long-lasting,tahan lama
re-purchase,membeli lagi
so far,sejauh ini
skintone-nya ,warna kulitnya
pd,pada
hg,produk yang selalu digunakan di rutinitas kecantikan
lovvveeeee!,cinta
red tomato-ish,semerah tomat
travel friendly,mudah dibawa saat bepergian
chalky,pucat
shimmernya,kilau yang halus tapi semu
finishingnya,hasil akhirnya
pinkynaturel,merah muda yang alami
streaky,terlihat bergaris karena ada jejak kuas dan belum terbaur sempurna
sheer,tekstur produk dengan cakupan yang tipis dan warna yang halus
rating,peringkat
it does not trip my skin,itu membuat kulit saya tersandung
worth the value,sepadan dengan nilainya
smelling2,baunya
booming,meledak
look greyish,terlihat keabuan
lightweight,ringan 
whitecast,noda putih 
lil greasy,sedikit berminyak
finish look,hasil akhir
dry patches,kulit kering
conceal,menutup
easy to blend,mudah dicampur
oxidized,teroksidasi
rosy flush,kemerahan
hg find,produk yang selalu digunakan di rutinitas kecantikan dan mudah ditemukan di toko 
retouch,memperbaiki kembali
work well,bekerja dengan baik
attempting,mencoba
tempting,menggoda
glides on smoothly,meluncur dengan halusnya
flacky,kulit yang mengelupas
exfoliatornya,produk yang dapat mengangkat sel kulit mati
too pricey,terlalu mahal
playfull,ceria
shea butternya,shea butternya
contouring,teknik mengecilkan area wajah dengan mengaplikasikan produk rias
base lipstick,alas pewarna bibir
nice taste,rasanya enak
protect bibir,melindungi bibir
a little useless,sedikit tidak berfungsi
discrub,digosok
physical scrub,alat yang digunakan untuk menggosok kulit
washlap,waslap
flaky,kulit yang mengelupas
single use,sekali pakai
relaxing bgt,sangat menenangkan
spooky2 wangi,menyeramkan tetapi wangi
supple banget,sangat kenyal
gentle bgt,sangat lembut
apply berkali2,aplikasikan beberapa kali
staying powernya,daya tahannya
crackingnya,pecahnya
swatches,pengaplikasikan produk ke area tangan untuk mengetahui warna dan tekstur
switch product,ganti produk
watery,berair
dragged out pore plugs,mengeluarkan pori
super pricey!,sangat mahal
not repurchasing,tidak membeli kembali
ada nozzle-nya,ada penyemprotnya
cooling sensation-nya,sensasi dinginnya
picky,pemilih
redundant,berlebihan
no sticky feeling,tidak terasa lengket
regime,rejimen
old fashion,kuno
dry flakes,kulit kering 
harsh,kasar
peel off deh,mengelupas
tingling,geli
ga purging,tidak menimbulkan jerawat akibat adaptasi pemakaian kosmetik baru pada kulit
foundie,alas bedak
packagingnya bulky,kemasannya tebal
darkspot,noda pada kulit yang disebabkan karena sinar UV dan berwana lebih gelap
diwarm up,dihangatkan
blusher,perona pipi
donwsidenya,efek sampingnya 
sting,menyengat
pricier,lebih mahal
runny,berair
yellow-based,warna hangat yang mendekati warna dasar kulit
blotting paper,kertas wajah
melting,mencair
pinky pinky kawai,merah muda cerah
artificial banget,sangat buatan
puffnya,aplikator pada kosmetik yang berbentuk bubuk
concealernya,tipe kosmetik yang digunakan untuk menutupi noda yang terlihat di wajah.
too perfumy,terlalu harum
ga eyecatching,tidak menarik perhatian
reapply,diaplikasikan kembali
gak opaque,tidak buram
cool toned,warna kulit yang berada satu tingkat dibawah warna kulit dasar
whitening balancer,kosmetik yang digunakan untuk mencerahkan wajah
versatility lipstick,keserbagunaan dari pewarna bibir
slightly bau kimia,sedikit bau kimia
finishingnya,hasil akhirnya
rash,ruam
shining,bersinar
cheap but great,murah tetapi bagus
prep,persiapan
skin flakes,kulit yang mengelupas
zits,jerawat yang muncul karena hormon yang tercampur dengan minyak dan bakteri
double toning,teknik perawatan wajah untuk mengangkat sel kulit mati dengan dua penyegar
bouncy banget,sangat kenyal
selfperserving,melindungi diri sendiri
gunk,kotoran
junkie,pecinta
compatible,cocok
